Zone,Production,Importations - Quantité,Exportations - Quantité,Pertes,Nourriture,Disponibilité intérieure,Variation de stock,Aliments pour animaux,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Population_1000,Taux_dependance_alimentaire,Ratio_pertes,Production_par_capita,Ratio_export_import
Botswana,687.0,929.0,48.0,53.0,1176.0,1424.0,143.0,43.0,26.269662921348313,5.944555555555556,0.7279775280898877,0.7313483146067417,2205.08,0.652387182312372,0.03721907498660464,0.31155318103960805,0.051668405093213035
Brésil,1216178.0,17660.0,153847.0,100912.0,160133.0,1086032.0,-6041.0,90503.0,36.51685393258427,8.657191011235955,1.4,1.0210112359550563,207833.823,0.016261030967539603,0.09291807231009946,5.851684661299404,8.711607660724368
Bulgarie,16593.0,3172.0,8536.0,790.0,5168.0,10417.0,811.0,1175.0,34.47560975609756,8.558000000000002,1.1625609756097561,1.0145121951219511,7102.444,0.30450222669653193,0.0758375659174843,2.336237732217567,2.6910458098846752
Burkina Faso,10781.0,883.0,296.0,448.0,9577.0,11909.0,-543.0,58.0,30.90909090909091,5.542,0.7603370786516854,0.8548314606741573,19193.234,0.07414559793890352,0.03761860461679363,0.5617083310864479,0.3352204584139769
Bélarus,33634.0,3858.0,7500.0,670.0,9188.0,29007.0,983.0,11541.0,40.60493827160494,11.574047619047619,1.5453086419753086,1.1614814814814816,9450.231,0.13300237415098515,0.02309787213093832,3.5590660631400373,1.9440119377885074
Bénin,13676.0,3725.0,278.0,1323.0,8012.0,16363.0,812.0,2691.0,31.655172413793103,8.245862068965518,0.6680459770114943,0.7408045977011495,11175.198,0.22764772794428112,0.08085313934772723,1.2237813393748067,0.0746308524480933
Cabo Verde,150.0,262.0,29.0,9.0,279.0,396.0,18.0,42.0,30.265060240963855,6.234285714285715,0.8249397590361446,0.835301204819277,537.498,0.6616144908724978,0.022727215335314813,0.27907028664239375,0.11068660043282279
Cambodge,25990.0,1493.0,2248.0,2625.0,8067.0,24462.0,776.0,868.0,28.697674418604652,5.724772727272728,0.38139534883720927,0.7602325581395348,16009.409,0.06103343712560554,0.10730929166424284,1.6234202259795958,1.5056922265959634
Cameroun,32825.0,2418.0,664.0,4873.0,16797.0,32643.0,1931.0,3164.0,29.797752808988765,7.432282608695652,0.5955555555555556,0.7721111111111111,24566.073,0.07407407180485642,0.14928161782674332,1.3361923439618393,0.2746069997489662
Canada,129752.0,19555.0,66205.0,3200.0,33945.0,82935.0,172.0,25317.0,39.68181818181818,10.49840909090909,1.74,1.1514772727272726,36732.095,0.23578705931407656,0.03858443312733546,3.5323875882280173,3.385578962639787
Chili,25580.0,7055.0,8736.0,1167.0,12486.0,23672.0,133.0,4482.0,35.79761904761905,7.683636363636364,1.051547619047619,1.054404761904762,18470.439,0.29803141694696617,0.04929874749498363,1.3849155732077851,1.238270554462005
Chine - RAS de Hong-Kong,444.0,9647.0,3609.0,202.0,5671.0,6345.0,141.0,136.0,38.10227272727273,8.818522727272727,1.5197727272727273,1.5668181818181817,7306.322,1.5204095318503494,0.03183608639305179,0.060769281620864556,0.37410590089085716
Chine - RAS de Macao,21.0,489.0,10.0,1.0,449.0,445.0,48.0,15.0,33.32222222222222,8.068111111111111,1.4647777777777775,1.1152222222222221,622.585,1.0988739351147525,0.002247185961379862,0.03373027983282631,0.020449855930764968
"Chine, Taiwan Province de",13170.0,14429.0,1669.0,607.0,15162.0,25365.0,833.0,5431.0,34.206896551724135,7.360574712643678,1.4770114942528736,0.9851724137931034,23674.546,0.5688546986455865,0.023930612106027514,0.556293643126519,0.11566982357267838
"Chine, continentale",2147703.0,205903.0,40251.0,129667.0,1376284.0,2303613.0,10234.0,411264.0,35.92134831460674,10.882247191011237,1.0886516853932584,1.1397752808988764,1421021.791,0.08938263497845227,0.05628853455146826,1.5113793553983725,0.19548525181524673
Chypre,850.0,1115.0,387.0,53.0,804.0,1513.0,62.0,514.0,30.372093023255815,7.870344827586207,1.294418604651163,0.9325581395348838,1179.678,0.7369459769028573,0.03502971908148111,0.7205349929938567,0.3470848905068247
Colombie,85126.0,11384.0,4803.0,4514.0,38460.0,93766.0,-2062.0,6757.0,35.54022988505747,8.936590909090908,0.9621590909090909,0.8217045454545455,48909.839,0.12140861163525572,0.04814111673590516,1.7404677668133857,0.4219079039083008
Congo,3494.0,752.0,9.0,317.0,3128.0,4259.0,-22.0,79.0,26.49425287356322,6.806777777777777,0.5336363636363637,0.632159090909091,5110.695,0.1765672278546072,0.07443060003977459,0.6836642210767379,0.011968069191397352
Costa Rica,15285.0,2669.0,7413.0,1087.0,3431.0,10447.0,99.0,912.0,35.86904761904762,8.154235294117647,1.2942857142857143,0.9660714285714287,4949.954,0.2554800176624851,0.1040489993252609,3.087906859759331,2.777443695225292
Croatie,7723.0,2726.0,2503.0,329.0,4262.0,7776.0,165.0,1369.0,37.548780487804876,12.424878048780489,1.3939024390243901,1.0997560975609755,4182.857,0.35056579853834896,0.04230966534083522,1.846345250065864,0.9181948209116577
Cuba,30667.0,4582.0,1227.0,1441.0,9575.0,33585.0,436.0,5071.0,41.0722891566265,9.93670588235294,0.8671084337349397,1.0650602409638554,11339.254,0.1364299497862156,0.042906057975106215,2.7044986641538618,0.2677869341364177
Côte d'Ivoire,28622.0,4124.0,3185.0,1934.0,15783.0,25557.0,3998.0,1225.0,30.288888888888888,7.018478260869564,0.6038461538461538,0.6495604395604395,24437.47,0.16136478611085864,0.0756739806834143,1.1712341264773265,0.7723082511376694
Danemark,26176.0,7184.0,12582.0,700.0,5515.0,20070.0,861.0,7877.0,39.8,11.318117647058823,1.542470588235294,1.328470588235294,5732.274,0.3579471670180784,0.034877925516794944,4.5664243254205354,1.7513917383920186
Djibouti,83.0,1497.0,191.0,5.0,403.0,1347.0,38.0,0.0,31.86904761904762,5.134761904761905,0.7120238095238095,0.7908333333333334,944.099,1.1113577495488125,0.003711949731291959,0.08791441584577904,0.1275884251246325
Dominique,125.0,26.0,2.0,24.0,69.0,149.0,0.0,22.0,36.8125,11.772261904761905,1.0015,0.9869999999999999,71.458,0.17449547318474373,0.16107274447822498,1.7492548174477671,0.07692011845698242
El Salvador,10759.0,2717.0,1218.0,282.0,3701.0,12559.0,-304.0,942.0,29.8876404494382,6.3660439560439555,0.7197752808988764,0.8393258426966292,6388.126,0.2163388632583117,0.022454015251690797,1.6842182379905721,0.4482883885578253
Espagne,91057.0,41585.0,34158.0,3604.0,43741.0,98426.0,63.0,25196.0,38.470588235294116,11.030823529411764,1.7555294117647058,1.2587058823529411,46647.428,0.4225001481061899,0.036616340838636734,1.9520261234547354,0.8214019280653619
Estonie,2911.0,943.0,1875.0,32.0,1361.0,2007.0,-26.0,333.0,41.0253164556962,12.74679012345679,1.3437974683544303,1.3581012658227847,1319.39,0.4698552716216883,0.01594418737210395,2.2063209465579194,1.9883329922237623
Eswatini,7195.0,446.0,784.0,316.0,596.0,6790.0,66.0,350.0,28.987951807228917,6.414337349397591,0.521566265060241,0.7375903614457832,1124.805,0.06568482095952563,0.046539021128273766,6.396658623798237,1.7578435922789413
Fidji,2312.0,384.0,258.0,88.0,636.0,2415.0,33.0,130.0,35.01190476190476,8.496511627906978,1.1333333333333333,0.8795238095238095,877.459,0.15900614533907023,0.036438908306870264,2.634877943154104,0.6718732503300773
Finlande,8703.0,3007.0,1934.0,332.0,6052.0,10154.0,-378.0,2179.0,40.204819277108435,12.920470588235295,1.6814457831325302,1.385529411764706,5511.371,0.29613942326773457,0.03269647107578579,1.5790986346049585,0.6431657322362048
France,201763.0,34730.0,59628.0,5682.0,61184.0,169101.0,7766.0,29931.0,42.333333333333336,11.232380952380952,1.8775000000000002,1.3342857142857143,64842.509,0.20538021534242723,0.033601220373615646,3.111585285640547,1.7169017645579683
Fédération de Russie,334095.0,23976.0,56569.0,5313.0,129102.0,299307.0,2188.0,71587.0,40.023809523809526,10.560714285714287,1.3083333333333333,1.212738095238095,145530.082,0.08010504238088303,0.017751004761829812,2.295710914972817,2.3594009693276203
Gabon,1688.0,514.0,7.0,247.0,1412.0,2238.0,-39.0,235.0,30.697674418604652,7.872988505747125,0.6482558139534884,0.9222093023255814,2064.823,0.22966924500927388,0.11036634925542928,0.8175030898517258,0.013618650547372477
Gambie,614.0,609.0,22.0,36.0,776.0,1145.0,56.0,49.0,31.382716049382715,4.332962962962963,0.9880246913580247,0.7837037037037037,2213.889,0.5318772647360134,0.03144102057552788,0.2773398859021902,0.03612473542736383
Ghana,44045.0,4557.0,1526.0,8961.0,24776.0,46468.0,602.0,5764.0,33.71111111111111,9.453111111111111,0.4486666666666667,0.6994444444444444,29121.465,0.09806748519265979,0.1928423820082125,1.512458198361305,0.3348693581590173
Grenade,49.0,47.0,10.0,3.0,54.0,87.0,-2.0,11.0,28.61904761904762,6.251309523809524,0.9391666666666667,0.8401190476190475,110.874,0.5402236755899357,0.03448236227169803,0.4419391206313416,0.21276143060785943
Grèce,18303.0,7840.0,4812.0,1209.0,10016.0,20911.0,422.0,4502.0,40.397590361445786,11.413132530120482,1.8173493975903614,1.2666265060240964,10569.45,0.3749222717745554,0.05781645747135682,1.731688807677901,0.6137754319163989
Guatemala,52433.0,3232.0,7582.0,2207.0,7771.0,44407.0,3676.0,1422.0,28.662921348314608,5.344186046511628,0.6820224719101123,0.7846067415730337,16914.97,0.07278131662167414,0.04969937060149592,3.099798397526073,2.345915115744085
Guinée,9993.0,1604.0,171.0,1217.0,6810.0,10905.0,521.0,1107.0,32.47674418604651,6.487011494252874,0.7809090909090909,0.7101149425287356,12067.519,0.1470884780294839,0.11160017316825556,0.8280906101667947,0.10660841233889505
Guinée-Bissau,982.0,268.0,118.0,78.0,709.0,1031.0,107.0,50.0,28.871794871794872,5.002179487179487,0.807051282051282,0.5657692307692308,1828.145,0.25994155194805824,0.07565463079085277,0.5371562227524498,0.44029686456393824
Guyana,3282.0,243.0,402.0,199.0,696.0,3021.0,109.0,363.0,35.58024691358025,11.057654320987654,0.8082716049382715,1.0812345679012345,775.222,0.08043691478420563,0.06587220593439061,4.23362051951503,1.654314179777038
Géorgie,1964.0,1476.0,405.0,66.0,2429.0,3070.0,-42.0,334.0,36.80769230769231,7.49432098765432,0.8966666666666666,0.9857692307692307,4008.716,0.48078160235126954,0.021498364332780347,0.4899323150025307,0.2743900580013157
Haïti,6150.0,1752.0,10.0,753.0,4907.0,7689.0,203.0,746.0,26.06024096385542,5.0251685393258425,0.5272619047619047,0.5941666666666667,10982.366,0.22785794929666414,0.09793209807099777,0.5599885707698532,0.005707759299224144
