CODDEP,COM,PMUN,PTOT,Id_codedep_codecommune,Geolocalisation
1,Péronnas,6520,6811,1289,"46.1711903413,5.21802169564"
1,Pérouges,1273,1305,1290,"45.8803945768,5.17955874977"
1,Perrex,842,849,1291,"46.2465065604,4.97464940331"
1,Peyriat,148,152,1293,"46.1498184067,5.50572312284"
1,Peyrieu,886,902,1294,"45.6762428663,5.67912809192"
1,Peyzieux-sur-Saône,686,699,1295,"46.1226331853,4.82243226719"
1,Pirajoux,420,428,1296,"46.385801285,5.27417594024"
1,Pizay,867,882,1297,"45.8928509581,5.08915465965"
1,Plagne,150,152,1298,"46.1883038423,5.71763811249"
1,Le Plantay,584,592,1299,"46.0230264227,5.08912046926"
1,Polliat,2547,2608,1301,"46.2463108642,5.13794412439"
1,Pollieu,163,168,1302,"45.7965373468,5.74794515549"
1,Poncin,1699,1735,1303,"46.089530586,5.41681266947"
1,Pont-d'Ain,2924,2977,1304,"46.0542077091,5.34703652618"
1,Pont-de-Vaux,2213,2256,1305,"46.4422864477,4.92862459427"
1,Pont-de-Veyle,1641,1705,1306,"46.2637215091,4.88186068102"
1,Port,836,857,1307,"46.155963139,5.57615832883"
1,Pougny,807,821,1308,"46.1450914685,5.95100479291"
1,Pouillat,85,85,1309,"46.3219301481,5.42318000482"
1,Prémeyzel,251,255,1310,"45.6806263123,5.64396081449"
1,Prémillieu,44,44,1311,"45.876457149,5.56475010385"
1,Prévessin-MoÃ«ns,8711,8950,1313,"46.25827228,6.07223251859"
1,Priay,1729,1762,1314,"46.0197521486,5.28523353803"
1,Ramasse,330,336,1317,"46.1905550894,5.35572056985"
1,Rancé,726,743,1318,"45.9673905154,4.86343025951"
1,Relevant,466,475,1319,"46.0843657897,4.94176845356"
1,Replonges,3791,3882,1320,"46.3077356023,4.8746938271"
1,Revonnas,888,917,1321,"46.1615355815,5.33543916388"
1,Reyrieux,4984,5124,1322,"45.9367652442,4.82840395968"
1,Reyssouze,989,1003,1323,"46.4285569061,4.91285056272"
1,Rignieux-le-Franc,1032,1050,1325,"45.9518762734,5.16936671105"
1,Romans,597,601,1328,"46.1237520756,5.0217131176"
1,Rossillon,153,159,1329,"45.8363854589,5.59926863007"
1,Ruffieu,182,188,1330,"46.0037108867,5.65322391497"
1,Saint-Alban,187,187,1331,"46.0983335519,5.45573839846"
1,Saint-André-de-Bâgé,779,802,1332,"46.298541568,4.91411565769"
1,Saint-André-de-Corcy,3369,3428,1333,"45.927001954,4.95373324492"
1,Saint-André-d'Huiriat,658,667,1334,"46.2140960915,4.91291358797"
1,Saint-André-le-Bouchoux,402,408,1335,"46.1131399612,5.0802376895"
1,Saint-André-sur-Vieux-Jonc,1174,1196,1336,"46.1492410532,5.14175200148"
1,Saint-Bénigne,1311,1338,1337,"46.4519173207,4.95309825903"
1,Groslée-Saint-Benoit,1227,1264,1338,"45.6891842277,5.5843972561"
1,Saint-Bernard,1463,1506,1339,"45.9493830581,4.74276628471"
1,Sainte-Croix,554,565,1342,"45.895522477,5.04935536228"
1,Saint-Cyr-sur-Menthon,1793,1834,1343,"46.2754005606,4.96757105158"
1,Saint-Denis-lès-Bourg,5943,6109,1344,"46.2111998453,5.18462806771"
1,Saint-Denis-en-Bugey,2266,2300,1345,"45.9488551151,5.32367701698"
1,Saint-Didier-d'Aussiat,858,877,1346,"46.3069992095,5.05820697692"
1,Saint-Didier-de-Formans,2035,2098,1347,"45.9564926067,4.77766764875"
1,Saint-Didier-sur-Chalaronne,2938,3003,1348,"46.1840408682,4.81645666173"
1,Saint-Eloi,503,508,1349,"45.9322494861,5.15187041178"
1,Saint-Etienne-du-Bois,2542,2582,1350,"46.2749447261,5.28428557632"
1,Saint-Etienne-sur-Chalaronne,1571,1597,1351,"46.1468059584,4.86696454244"
1,Saint-Etienne-sur-Reyssouze,583,589,1352,"46.4030398952,5.00605581573"
1,Sainte-Euphémie,1700,1728,1353,"45.9669798317,4.79478189169"
1,Saint-Genis-Pouilly,13943,14143,1354,"46.254539333,6.0362907345"
1,Saint-Genis-sur-Menthon,486,493,1355,"46.2815955593,5.01311826405"
1,Saint-Georges-sur-Renon,208,213,1356,"46.1037951263,5.03001967494"
1,Saint-Germain-de-Joux,502,509,1357,"46.1821955394,5.74672259773"
1,Saint-Germain-les-Paroisses,429,432,1358,"45.7709749249,5.61753440834"
1,Saint-Germain-sur-Renon,246,249,1359,"46.0797285417,5.06090903982"
1,Saint-Jean-de-Gonville,1895,1943,1360,"46.2178585727,5.94203093769"
1,Saint-Jean-de-Niost,1577,1625,1361,"45.8405002569,5.21167430462"
1,Saint-Jean-de-Thurigneux,786,801,1362,"45.9598424323,4.89936410681"
1,Saint-Jean-le-Vieux,1772,1842,1363,"46.0291437714,5.38252835538"
1,Saint-Jean-sur-Reyssouze,756,763,1364,"46.3972479854,5.06297763777"
1,Saint-Jean-sur-Veyle,1162,1182,1365,"46.2683632132,4.92198366998"
1,Sainte-Julie,1082,1100,1366,"45.8819723176,5.28452304614"
